Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
Gimenez,Chapecoense,CHA,Gimenez,Lateral,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Luccas Claro,Coritiba,COR,Luccas Claro,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 17.00,0.00,
David Braz,Santos,SAN,David Braz,Zagueiro,1.60,1.60,1,Santos,x,Coritiba, 7.06,0.94,
Vitor Bueno,Santos,SAN,Vitor Bueno,Meia,-1.00,-1.00,1,Santos,x,Coritiba, 5.88,3.12,
Lucas Lima,Santos,SAN,Lucas Lima,Meia,0.00,0.00,-,Santos,x,Coritiba, 26.00,0.00,
Marquinhos,Santos,SAN,Marquinhos,Atacante,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Moisés,Chapecoense,CHA,Moisés,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Cássio,Corinthians,COR,Cássio,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 25.00,0.00,
Lucas Perri,São Paulo,SAO,Lucas Perri,Goleiro,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Iago Maidana,São Paulo,SAO,Iago Maidana,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Bruno Henrique,Corinthians,COR,Bruno Henrique,Meia,7.90,7.90,1,Vitória,x,Corinthians, 13.90,2.90,
Gabriel,Santos,SAN,Gabriel,Atacante,-0.80,-0.80,1,Santos,x,Coritiba, 11.18,4.82,
João Paulo,Santos,SAN,João Paulo,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Felipe,Corinthians,COR,Felipe,Zagueiro,13.70,13.70,1,Vitória,x,Corinthians, 26.99,3.99,
Gustavo Henrique,Santos,SAN,Gustavo Henrique,Zagueiro,-0.80,-0.80,1,Santos,x,Coritiba, 4.56,2.44,
Hyoran,Chapecoense,CHA,Hyoran,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Vanderlei,Santos,SAN,Vanderlei,Goleiro,4.00,4.00,1,Santos,x,Coritiba, 13.97,1.03,
Diego Gomes,Santos,SAN,Diego Gomes,Meia,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Juan,Coritiba,COR,Juan,Meia,0.00,0.00,-,Santos,x,Coritiba, 16.00,0.00,
Rodrigo Andrade,Chapecoense,CHA,Rodrigo Andrade,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 4.00,0.00,
Danilo,Corinthians,COR,Danilo,Meia,0.00,0.00,-,Vitória,x,Corinthians, 10.00,0.00,
Elias,Corinthians,COR,Elias,Meia,4.00,4.00,1,Vitória,x,Corinthians, 17.65,2.35,
Fagner,Corinthians,COR,Fagner,Lateral,9.90,9.90,1,Vitória,x,Corinthians, 20.52,2.52,
Murilo,São Paulo,SAO,Murilo,Atacante,0.00,0.00,-,São Paulo,x,Internacional, 1.00,0.00,
Fernando Medeiros,Santos,SAN,Fernando Medeiros,Meia,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Silvinho,Chapecoense,CHA,Silvinho,Atacante,1.90,1.90,1,Chapecoense,x,América-MG, 4.34,0.34,
Alan Mineiro,Corinthians,COR,Alan Mineiro,Meia,0.00,0.00,-,Vitória,x,Corinthians, 9.00,0.00,
Edgardo Bauza,São Paulo,SAO,Edgardo Bauza,Técnico,4.77,4.77,1,São Paulo,x,Internacional, 12.33,0.33,
Renato,Santos,SAN,Renato,Meia,3.80,3.80,1,Santos,x,Coritiba, 12.35,0.65,
Dorival Júnior,Santos,SAN,Dorival Júnior,Técnico,1.96,1.96,1,Santos,x,Coritiba, 9.53,1.47,
Joel,Santos,SAN,Joel,Atacante,0.00,0.00,-,Santos,x,Coritiba, 6.00,0.00,
Ronaldo Mendes,Santos,SAN,Ronaldo Mendes,Meia,1.00,1.00,1,Santos,x,Coritiba, 8.09,1.91,
Negueba,Coritiba,COR,Negueba,Atacante,0.00,0.00,-,Santos,x,Coritiba, 13.00,0.00,
Marcelo,Chapecoense,CHA,Marcelo,Zagueiro,4.50,4.50,1,Chapecoense,x,América-MG, 5.51,2.51,
André,Corinthians,COR,André,Atacante,0.40,0.40,1,Vitória,x,Corinthians, 12.79,4.21,
Guilherme,Corinthians,COR,Guilherme,Meia,1.80,1.80,1,Vitória,x,Corinthians, 13.09,2.91,
Claudio Winck,Chapecoense,CHA,Claudio Winck,Lateral,3.90,3.90,1,Chapecoense,x,América-MG, 5.07,2.07,
Yago,Corinthians,COR,Yago,Zagueiro,0.00,0.00,-,Vitória,x,Corinthians, 15.00,0.00,
Lucca,Corinthians,COR,Lucca,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 8.50,0.00,
Luiz Felipe,Santos,SAN,Luiz Felipe,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 5.00,0.00,
Kleber,Coritiba,COR,Kleber,Atacante,4.60,4.60,1,Santos,x,Coritiba, 21.03,2.97,
Andrei,Chapecoense,CHA,Andrei,Meia,0.00,0.00,-,Chapecoense,x,América-MG, 3.00,0.00,
Zeca,Santos,SAN,Zeca,Lateral,2.60,2.60,1,Santos,x,Coritiba, 10.00,1.00,
Uendel,Corinthians,COR,Uendel,Lateral,2.70,2.70,1,Vitória,x,Corinthians, 7.87,0.13,
Victor Ferraz,Santos,SAN,Victor Ferraz,Lateral,7.90,7.90,1,Santos,x,Coritiba, 13.16,3.16,
Dudu,Coritiba,COR,Dudu,Meia,0.00,0.00,-,Santos,x,Coritiba, 12.00,0.00,
Carlinhos,Coritiba,COR,Carlinhos,Lateral,8.50,8.50,1,Santos,x,Coritiba, 14.34,3.34,
Rodriguinho,Corinthians,COR,Rodriguinho,Meia,3.10,3.10,1,Vitória,x,Corinthians, 7.43,0.43,
Marquinhos Gabriel,Corinthians,COR,Marquinhos Gabriel,Meia,1.20,1.20,1,Vitória,x,Corinthians, 11.18,2.82,
Júnior Oliveira,Figueirense,FIG,Júnior Oliveira,Goleiro,8.00,8.00,1,Cruzeiro,x,Figueirense, 8.09,5.09,
Rafael Longuine,Santos,SAN,Rafael Longuine,Meia,0.00,0.00,-,Santos,x,Coritiba, 5.00,0.00,
Leandro,Coritiba,COR,Leandro,Atacante,-0.10,-0.10,1,Santos,x,Coritiba, 7.28,2.72,
Elano,Santos,SAN,Elano,Meia,0.00,0.00,-,Santos,x,Coritiba, 9.00,0.00,
Juninho,Coritiba,COR,Juninho,Zagueiro,9.30,9.30,1,Santos,x,Coritiba, 13.46,4.46,
Willians,Corinthians,COR,Willians,Meia,0.00,0.00,-,Vitória,x,Corinthians, 6.00,0.00,
Ceará,Coritiba,COR,Ceará,Lateral,0.00,0.00,-,Santos,x,Coritiba, 8.00,0.00,
Keno,Santa Cruz,STC,Keno,Atacante,19.00,19.00,1,Fluminense,x,Santa Cruz, 21.32,11.32,
João Paulo,Coritiba,COR,João Paulo,Meia,1.30,1.30,1,Santos,x,Coritiba, 6.10,0.90,
Paulinho,Santos,SAN,Paulinho,Atacante,-1.90,-1.90,1,Santos,x,Coritiba, 2.28,2.72,
Luciano,Corinthians,COR,Luciano,Atacante,0.70,0.70,1,Vitória,x,Corinthians, 4.93,1.07,
Lucas Veríssimo,Santos,SAN,Lucas Veríssimo,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Caju,Santos,SAN,Caju,Lateral,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Vinicius,Coritiba,COR,Vinicius,Atacante,8.30,8.30,1,Santos,x,Coritiba, 10.52,4.52,
Wilson,Coritiba,COR,Wilson,Goleiro,5.00,5.00,1,Santos,x,Coritiba, 7.35,2.35,
Tiago Cardoso,Santa Cruz,STC,Tiago Cardoso,Goleiro,-0.50,-0.50,1,Fluminense,x,Santa Cruz, 6.25,2.75,
Balbuena,Corinthians,COR,Balbuena,Zagueiro,0.80,0.80,1,Vitória,x,Corinthians, 4.26,0.74,
Arthur,Santa Cruz,STC,Arthur,Atacante,-1.50,-1.50,1,Fluminense,x,Santa Cruz, 4.78,3.22,
Edílson,Corinthians,COR,Edílson,Lateral,0.00,0.00,-,Vitória,x,Corinthians, 5.00,0.00,
Alison,Santos,SAN,Alison,Meia,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Neto Berola,Santos,SAN,Neto Berola,Atacante,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Vítor,Santa Cruz,STC,Vítor,Lateral,0.20,0.20,1,Fluminense,x,Santa Cruz, 6.03,1.97,
Lucas Crispim,Santos,SAN,Lucas Crispim,Meia,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Neris,Santa Cruz,STC,Neris,Zagueiro,-1.10,-1.10,1,Fluminense,x,Santa Cruz, 4.34,2.66,
Léo Moura,Santa Cruz,STC,Léo Moura,Lateral,0.00,0.00,-,Fluminense,x,Santa Cruz, 7.00,0.00,
Walisson Maia,Coritiba,COR,Walisson Maia,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 5.00,0.00,
Giovanni Augusto,Corinthians,COR,Giovanni Augusto,Meia,-0.50,-0.50,1,Vitória,x,Corinthians, 3.31,1.69,
Maycon,Corinthians,COR,Maycon,Meia,0.00,0.00,-,Vitória,x,Corinthians, 5.00,0.00,
Lelê,Santa Cruz,STC,Lelê,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 6.00,0.00,
Vladimir,Santos,SAN,Vladimir,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Alan Santos,Coritiba,COR,Alan Santos,Meia,2.10,2.10,1,Santos,x,Coritiba, 5.22,0.22,
Reginaldo,Coritiba,COR,Reginaldo,Lateral,0.00,0.00,-,Santos,x,Coritiba, 5.00,0.00,
Jorge Ortega,Coritiba,COR,Jorge Ortega,Atacante,0.00,0.00,1,Santos,x,Coritiba, 3.68,1.32,
Danny Morais,Santa Cruz,STC,Danny Morais,Zagueiro,-2.10,-2.10,1,Fluminense,x,Santa Cruz, 2.13,2.87,
Thiago Lopes,Coritiba,COR,Thiago Lopes,Meia,0.70,0.70,1,Santos,x,Coritiba, 4.19,0.81,
Walter,Corinthians,COR,Walter,Goleiro,5.00,5.00,1,Vitória,x,Corinthians, 6.62,2.62,
Daniel Guedes,Santos,SAN,Daniel Guedes,Lateral,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Tiago Costa,Santa Cruz,STC,Tiago Costa,Lateral,3.60,3.60,1,Fluminense,x,Santa Cruz, 6.32,1.32,
Valencia,Santos,SAN,Valencia,Meia,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Rildo,Corinthians,COR,Rildo,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 5.00,0.00,
Uillian Correia,Santa Cruz,STC,Uillian Correia,Meia,9.70,9.70,1,Fluminense,x,Santa Cruz, 10.81,5.81,
Elisson,Coritiba,COR,Elisson,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Rafael Marques,Coritiba,COR,Rafael Marques,Zagueiro,5.30,5.30,1,Santos,x,Coritiba, 6.84,2.84,
Leandro Lima,Santa Cruz,STC,Leandro Lima,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 5.00,0.00,
Alemão,Santa Cruz,STC,Alemão,Zagueiro,-0.30,-0.30,1,Fluminense,x,Santa Cruz, 2.72,1.28,
Bruno Moraes,Santa Cruz,STC,Bruno Moraes,Atacante,0.50,0.50,1,Fluminense,x,Santa Cruz, 4.04,0.96,
Guilherme Arana,Corinthians,COR,Guilherme Arana,Lateral,0.00,0.00,-,Vitória,x,Corinthians, 4.00,0.00,
Vilson,Corinthians,COR,Vilson,Zagueiro,0.00,0.00,-,Vitória,x,Corinthians, 4.00,0.00,
César Benítez,Coritiba,COR,César Benítez,Lateral,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Serginho,Santos,SAN,Serginho,Meia,0.20,0.20,1,Santos,x,Coritiba, 2.35,0.65,
Amaral,Coritiba,COR,Amaral,Meia,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Léo Cittadini,Santos,SAN,Léo Cittadini,Meia,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Ruy,Coritiba,COR,Ruy,Meia,3.00,3.00,1,Santos,x,Coritiba, 5.15,1.15,
Maxi Rolón,Santos,SAN,Maxi Rolón,Atacante,0.20,0.20,1,Santos,x,Coritiba, 2.35,0.65,
Lucas Ramon,Santa Cruz,STC,Lucas Ramon,Lateral,0.00,0.00,-,Fluminense,x,Santa Cruz, 3.00,0.00,
Allan,Santa Cruz,STC,Allan,Lateral,0.00,0.00,-,Fluminense,x,Santa Cruz, 4.00,0.00,
Wellington,Santa Cruz,STC,Wellington,Meia,-1.80,-1.80,1,Fluminense,x,Santa Cruz, 1.62,2.38,
Matheus Vidotto,Corinthians,COR,Matheus Vidotto,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 3.00,0.00,
Marlone,Corinthians,COR,Marlone,Meia,0.00,0.00,-,Vitória,x,Corinthians, 4.00,0.00,
Nery Bareiro,Coritiba,COR,Nery Bareiro,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Paulo Ricardo,Santos,SAN,Paulo Ricardo,Zagueiro,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
John Victor,Santos,SAN,John Victor,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Guilherme Parede,Coritiba,COR,Guilherme Parede,Atacante,0.00,0.00,-,Santos,x,Coritiba, 4.00,0.00,
Dodô,Coritiba,COR,Dodô,Lateral,9.50,9.50,1,Santos,x,Coritiba, 9.19,6.19,
Luís Cáceres,Coritiba,COR,Luís Cáceres,Meia,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Matheus Pereira,Corinthians,COR,Matheus Pereira,Meia,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Cristian,Corinthians,COR,Cristian,Meia,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Leandrinho,Santos,SAN,Leandrinho,Meia,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Raphael Veiga,Coritiba,COR,Raphael Veiga,Meia,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Ícaro,Coritiba,COR,Ícaro,Meia,0.00,0.00,-,Santos,x,Coritiba, 3.00,0.00,
Rafael Martins,Coritiba,COR,Rafael Martins,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Wallyson,Santa Cruz,STC,Wallyson,Atacante,-1.70,-1.70,1,Fluminense,x,Santa Cruz, 1.69,2.31,
João Paulo,Santa Cruz,STC,João Paulo,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 6.00,0.00,
Isaac,Corinthians,COR,Isaac,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Bruno Alves,Figueirense,FIG,Bruno Alves,Zagueiro,7.80,7.80,1,Cruzeiro,x,Figueirense, 10.88,3.88,
Fábio Braga,Coritiba,COR,Fábio Braga,Meia,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Leonardo,Santa Cruz,STC,Leonardo,Zagueiro,0.00,0.00,-,Fluminense,x,Santa Cruz, 3.00,0.00,
Marquinhos,Figueirense,FIG,Marquinhos,Zagueiro,0.00,0.00,-,Cruzeiro,x,Figueirense, 5.00,0.00,
Carlos Alberto,Figueirense,FIG,Carlos Alberto,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 6.00,0.00,
Gatito Fernández,Figueirense,FIG,Gatito Fernández,Goleiro,0.00,0.00,-,Cruzeiro,x,Figueirense, 6.00,0.00,
Índio,Coritiba,COR,Índio,Atacante,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Rafael Fachin,Coritiba,COR,Rafael Fachin,Goleiro,0.00,0.00,-,Santos,x,Coritiba, 1.00,0.00,
Ermel,Figueirense,FIG,Ermel,Atacante,2.40,2.40,1,Cruzeiro,x,Figueirense, 6.91,0.09,
Evandro,Coritiba,COR,Evandro,Atacante,0.00,0.00,-,Santos,x,Coritiba, 2.00,0.00,
Lucas Gomes,Santa Cruz,STC,Lucas Gomes,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 3.00,0.00,
Elias,Figueirense,FIG,Elias,Atacante,0.00,0.00,-,Cruzeiro,x,Figueirense, 2.00,0.00,
Leandro Silva,Figueirense,FIG,Leandro Silva,Lateral,0.00,0.00,-,Cruzeiro,x,Figueirense, 5.00,0.00,
Jackson Caucaia,Figueirense,FIG,Jackson Caucaia,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 2.00,0.00,
Elicarlos,Figueirense,FIG,Elicarlos,Meia,5.40,5.40,1,Cruzeiro,x,Figueirense, 7.65,2.65,
Alisson,Figueirense,FIG,Alisson,Goleiro,0.00,0.00,-,Cruzeiro,x,Figueirense, 1.00,0.00,
Michael Ortega,Figueirense,FIG,Michael Ortega,Meia,0.00,0.00,1,Cruzeiro,x,Figueirense, 3.68,1.32,
Henrique Trevisan,Figueirense,FIG,Henrique Trevisan,Zagueiro,0.00,0.00,-,Cruzeiro,x,Figueirense, 1.00,0.00,
Bruno Santos,Figueirense,FIG,Bruno Santos,Lateral,0.00,0.00,-,Cruzeiro,x,Figueirense, 1.00,0.00,
Renatinho,Santa Cruz,STC,Renatinho,Lateral,0.00,0.00,-,Fluminense,x,Santa Cruz, 1.00,0.00,
Gilson Kleina,Coritiba,COR,Gilson Kleina,Técnico,5.24,5.24,1,Santos,x,Coritiba, 6.79,2.79,
Walter Guimarães,Santa Cruz,STC,Walter Guimarães,Zagueiro,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Dedé,Santa Cruz,STC,Dedé,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Edson Kölln,Santa Cruz,STC,Edson Kölln,Goleiro,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Raniel,Santa Cruz,STC,Raniel,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Daniel Costa,Santa Cruz,STC,Daniel Costa,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 3.00,0.00,
Dodô,Figueirense,FIG,Dodô,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 5.00,0.00,
Everton Santos,Figueirense,FIG,Everton Santos,Atacante,0.00,0.00,-,Cruzeiro,x,Figueirense, 5.00,0.00,
Marcílio,Santa Cruz,STC,Marcílio,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 2.00,0.00,
Luiz Miller,Santa Cruz,STC,Luiz Miller,Goleiro,0.00,0.00,-,Fluminense,x,Santa Cruz, 1.00,0.00,
Bady,Figueirense,FIG,Bady,Meia,2.60,2.60,1,Cruzeiro,x,Figueirense, 8.53,0.47,
Marquinhos Pedroso,Figueirense,FIG,Marquinhos Pedroso,Lateral,5.00,5.00,1,Cruzeiro,x,Figueirense, 6.62,2.62,
Matheusinho,Figueirense,FIG,Matheusinho,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 1.00,0.00,
Pedrinho,Santa Cruz,STC,Pedrinho,Meia,0.00,0.00,-,Fluminense,x,Santa Cruz, 1.00,0.00,
Caíque França,Corinthians,COR,Caíque França,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
Hyago,Figueirense,FIG,Hyago,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 1.00,0.00,
Fernando Prass,Palmeiras,PAL,Fernando Prass,Goleiro,4.70,4.70,1,Ponte Preta,x,Palmeiras, 18.90,2.10,
Jaime,Figueirense,FIG,Jaime,Zagueiro,8.40,8.40,1,Cruzeiro,x,Figueirense, 9.12,5.12,
Dudu,Figueirense,FIG,Dudu,Atacante,0.50,0.50,1,Cruzeiro,x,Figueirense, 6.99,2.01,
Pedro Henrique,Corinthians,COR,Pedro Henrique,Zagueiro,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
Jefferson,Figueirense,FIG,Jefferson,Meia,1.50,1.50,1,Cruzeiro,x,Figueirense, 4.04,0.04,
Vinícius Eutrópio,Figueirense,FIG,Vinícius Eutrópio,Técnico,4.44,4.44,1,Cruzeiro,x,Figueirense, 4.73,2.73,
Egídio,Palmeiras,PAL,Egídio,Lateral,7.70,7.70,1,Ponte Preta,x,Palmeiras, 20.37,0.37,
Ítalo Borges,Santa Cruz,STC,Ítalo Borges,Atacante,0.00,0.00,-,Fluminense,x,Santa Cruz, 1.00,0.00,
Paolo Guerrero,Flamengo,FLA,Paolo Guerrero,Atacante,-4.10,-4.10,1,Grêmio,x,Flamengo, 12.43,8.57,
Claudinho,Corinthians,COR,Claudinho,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
Ferrugem,Figueirense,FIG,Ferrugem,Meia,0.60,0.60,1,Cruzeiro,x,Figueirense, 3.38,0.62,
Gabriel Jesus,Palmeiras,PAL,Gabriel Jesus,Atacante,24.40,24.40,1,Ponte Preta,x,Palmeiras, 31.91,12.91,
Milton Mendes,Santa Cruz,STC,Milton Mendes,Técnico,4.11,4.11,1,Fluminense,x,Santa Cruz, 5.23,2.23,
Yago,Figueirense,FIG,Yago,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 4.00,0.00,
Rafael Moura,Figueirense,FIG,Rafael Moura,Atacante,-0.20,-0.20,1,Cruzeiro,x,Figueirense, 5.74,2.26,
Réver,Internacional,INT,Réver,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 5.00,0.00,
Gabriel Esteves,Figueirense,FIG,Gabriel Esteves,Atacante,0.00,0.00,-,Cruzeiro,x,Figueirense, 4.00,0.00,
Jorge,Flamengo,FLA,Jorge,Lateral,12.50,12.50,1,Grêmio,x,Flamengo, 20.22,5.22,
Rafael Marques,Palmeiras,PAL,Rafael Marques,Atacante,4.70,4.70,1,Ponte Preta,x,Palmeiras, 8.60,1.60,
Lucas Barrios,Palmeiras,PAL,Lucas Barrios,Atacante,-2.00,-2.00,1,Ponte Preta,x,Palmeiras, 9.56,5.44,
Cleiton Xavier,Palmeiras,PAL,Cleiton Xavier,Meia,9.20,9.20,1,Ponte Preta,x,Palmeiras, 19.27,2.27,
Nirley,Figueirense,FIG,Nirley,Zagueiro,0.00,0.00,-,Cruzeiro,x,Figueirense, 3.00,0.00,
Dudu,Palmeiras,PAL,Dudu,Atacante,0.00,0.00,-,Ponte Preta,x,Palmeiras, 14.00,0.00,
Jocinei,Figueirense,FIG,Jocinei,Meia,7.30,7.30,1,Cruzeiro,x,Figueirense, 7.57,4.57,
Dener,Figueirense,FIG,Dener,Meia,0.00,0.00,-,Cruzeiro,x,Figueirense, 3.00,0.00,
Marcelo Cirino,Flamengo,FLA,Marcelo Cirino,Atacante,3.60,3.60,1,Grêmio,x,Flamengo, 6.32,1.32,
Mancuello,Flamengo,FLA,Mancuello,Meia,1.60,1.60,1,Grêmio,x,Flamengo, 11.47,2.53,
Guilherme Queiroz,Figueirense,FIG,Guilherme Queiroz,Atacante,-0.50,-0.50,1,Cruzeiro,x,Figueirense, 1.84,1.16,
